Date,SPY
12/24/2015,195.8487
12/23/2015,196.1725
12/22/2015,193.7729
12/21/2015,192.0304
12/18/2015,190.4593
12/17/2015,193.9143
12/16/2015,196.9149
12/15/2015,194.0752
12/14/2015,192.059
12/11/2015,191.0935
12/10/2015,194.8703
12/9/2015,194.3686
12/8/2015,195.8926
12/7/2015,197.2178
12/4/2015,198.42
12/3/2015,194.6242
12/2/2015,197.3882
12/1/2015,199.4233
11/30/2015,197.5397
11/27/2015,198.3631
11/25/2015,198.136
11/24/2015,198.1644
11/23/2015,197.8993
11/20/2015,198.1265
11/19/2015,197.4071
11/18/2015,197.5775
11/17/2015,194.4917
11/16/2015,194.6337
11/13/2015,191.7182
11/12/2015,193.8954
11/11/2015,196.6404
11/10/2015,197.4166
11/9/2015,196.9622
11/6/2015,198.8175
11/5/2015,198.9216
11/4/2015,199.1393
11/3/2015,199.7262
11/2/2015,199.1488
10/30/2015,196.8202
10/29/2015,197.7289
10/28/2015,197.7763
10/27/2015,195.5329
10/26/2015,195.9305
10/23/2015,196.4322
10/22/2015,194.2456
10/21/2015,191.0651
10/20/2015,192.2578
10/19/2015,192.5039
10/16/2015,192.4092
10/15/2015,191.5384
10/14/2015,188.6419
10/13/2015,189.5506
10/12/2015,190.7527
10/9/2015,190.5729
10/8/2015,190.4593
10/7/2015,188.7555
10/6/2015,187.222
10/5/2015,187.8657
10/2/2015,184.5811
10/1/2015,181.8645
9/30/2015,181.3533
9/29/2015,178.0309
9/28/2015,177.8699
9/25/2015,182.5649
9/24/2015,182.6217
9/23/2015,183.2559
9/22/2015,183.5399
9/21/2015,185.9442
9/18/2015,184.9219
9/17/2015,188.0518
9/16/2015,188.4661
9/15/2015,186.8747
9/14/2015,184.5487
9/11/2015,185.2644
9/10/2015,184.4263
9/9/2015,183.3999
9/8/2015,185.9424
9/4/2015,181.3565
9/3/2015,184.238
9/2/2015,184.012
9/1/2015,180.5843
8/31/2015,186.0178
8/28/2015,187.6186
8/27/2015,187.5433
8/26/2015,183.3246
8/25/2015,176.3091
8/24/2015,178.4938
8/21/2015,186.1025
8/20/2015,192.1103
8/19/2015,196.1313
8/18/2015,197.6851
8/17/2015,198.2783
8/14/2015,197.1483
8/13/2015,196.5268
8/12/2015,196.7339
8/11/2015,196.4892
8/10/2015,198.3442
8/7/2015,195.7923
8/6/2015,196.1972
8/5/2015,197.8452
8/4/2015,197.1106
8/3/2015,197.4967
7/31/2015,198.1747
7/30/2015,198.5232
7/29/2015,198.4761
7/28/2015,197.1012
7/27/2015,194.6811
7/24/2015,195.8111
7/23/2015,197.8828
7/22/2015,198.9657
7/21/2015,199.4083
7/20/2015,200.2182
7/17/2015,200.0769
7/16/2015,199.8886
7/15/2015,198.3442
7/14/2015,198.429
7/13/2015,197.525
7/10/2015,195.378
7/9/2015,192.8543
7/8/2015,192.6
7/7/2015,195.877
7/6/2015,194.6152
7/2/2015,195.2273
7/1/2015,195.4627
6/30/2015,193.8807
6/29/2015,193.4852
6/26/2015,197.6568
6/25/2015,197.5909
6/24/2015,198.2312
6/23/2015,199.6814
6/22/2015,199.5307
6/19/2015,198.5137
6/18/2015,199.3329
6/17/2015,197.3462
6/16/2015,197.0276
6/15/2015,195.95
6/12/2015,196.7278
6/11/2015,198.3396
6/10/2015,197.693
6/9/2015,195.3408
6/8/2015,195.3127
6/5/2015,196.5778
6/4/2015,196.9152
6/3/2015,198.5926
6/2/2015,198.0678
6/1/2015,198.2646
5/29/2015,197.8616
5/28/2015,199.0986
5/27/2015,199.3235
5/26/2015,197.4493
5/22/2015,199.5953
5/21/2015,200.0732
5/20/2015,199.4922
5/19/2015,199.6328
5/18/2015,199.6984
5/15/2015,199.0799
5/14/2015,198.8644
5/13/2015,196.8121
5/12/2015,196.7746
5/11/2015,197.365
5/8/2015,198.3115
5/7/2015,195.7344
5/6/2015,194.9566
5/5/2015,195.7625
5/4/2015,198.0303
5/1/2015,197.4681
4/30/2015,195.3502
4/29/2015,197.3275
4/28/2015,198.1428
4/27/2015,197.515
4/24/2015,198.3396
4/23/2015,197.8804
4/22/2015,197.3837
4/21/2015,196.4185
4/20/2015,196.6528
4/17/2015,194.8723
4/16/2015,197.1401
4/15/2015,197.1963
4/14/2015,196.3155
4/13/2015,195.9406
4/10/2015,196.8308
4/9/2015,195.7625
4/8/2015,194.9004
4/7/2015,194.2444
4/6/2015,194.7598
4/2/2015,193.4572
4/1/2015,192.7638
3/31/2015,193.4479
3/30/2015,195.1534
3/27/2015,192.8013
3/26/2015,192.3608
3/25/2015,192.82
3/24/2015,195.6876
3/23/2015,196.7934
3/20/2015,197.1776
3/19/2015,195.4525
3/18/2015,196.3482
3/17/2015,194.0158
3/16/2015,194.5942
3/13/2015,192.0286
3/12/2015,193.2134
3/11/2015,190.7878
3/10/2015,191.2356
3/9/2015,194.389
3/6/2015,193.5866
3/5/2015,196.3482
3/4/2015,196.1336
3/3/2015,196.9639
3/2/2015,197.7756
2/27/2015,196.5348
2/26/2015,197.2065
2/25/2015,197.4397
2/24/2015,197.6076
2/23/2015,197.0479
2/20/2015,197.0758
2/19/2015,195.9003
2/18/2015,196.0403
2/17/2015,196.0216
2/13/2015,195.7137
2/12/2015,194.9114
2/11/2015,193.0549
2/10/2015,192.9429
2/9/2015,190.9091
2/6/2015,191.7674
2/5/2015,192.2992
2/4/2015,190.3773
2/3/2015,191.105
2/2/2015,188.3808
1/30/2015,186.0764
1/29/2015,188.4461
1/28/2015,186.7201
1/27/2015,189.1458
1/26/2015,191.6741
1/23/2015,191.2263
1/22/2015,192.2805
1/21/2015,189.463
1/20/2015,188.5114
1/16/2015,188.1102
1/15/2015,185.6752
1/14/2015,187.3918
1/13/2015,188.5301
1/12/2015,189.0618
1/9/2015,190.5545
1/8/2015,192.0939
1/7/2015,188.7446
1/6/2015,186.4216
1/5/2015,188.1942
1/2/2015,191.6554
12/31/2014,191.7581
12/30/2014,193.6799
12/29/2014,194.7248
12/26/2014,194.4636
12/24/2014,193.8385
12/23/2014,193.8199
12/22/2014,193.5586
12/19/2014,192.6723
12/18/2014,191.8561
12/17/2014,187.2262
12/16/2014,183.6263
12/15/2014,185.1108
12/12/2014,186.3912
12/11/2014,189.453
12/10/2014,188.4974
12/9/2014,191.5685
12/8/2014,191.6984
12/5/2014,192.988
12/4/2014,192.6726
12/3/2014,192.886
12/2/2014,192.1437
12/1/2014,190.9097
11/28/2014,192.2458
11/26/2014,192.654
11/25/2014,192.1623
11/24/2014,192.3014
11/21/2014,191.7633
11/20/2014,190.7427
11/19/2014,190.4087
11/18/2014,190.7149
11/17/2014,189.62
11/14/2014,189.4995
11/13/2014,189.453
11/12/2014,189.2397
11/11/2014,189.4437
11/10/2014,189.2582
11/7/2014,188.6644
11/6/2014,188.4881
11/5/2014,187.7365
11/4/2014,186.5582
11/3/2014,187.2077
10/31/2014,187.1056
10/30/2014,184.9902
10/29/2014,183.8118
10/28/2014,184.0902
10/27/2014,182.0025
10/24/2014,182.2531
10/23/2014,180.8614
10/22/2014,178.783
10/21/2014,180.0634
10/20/2014,176.5655
10/17/2014,174.8676
10/16/2014,172.8263
10/15/2014,172.9748
10/14/2014,174.1532
10/13/2014,173.8841
10/10/2014,176.7882
10/9/2014,178.8294
10/8/2014,182.4479
10/7/2014,179.3119
10/6/2014,182.1232
10/3/2014,182.3366
10/2/2014,180.351
10/1/2014,180.3232
9/30/2014,182.8005
9/29/2014,183.283
9/26/2014,183.617
9/25/2014,182.1696
9/24/2014,185.1572
9/23/2014,183.7191
9/22/2014,184.7767
9/19/2014,186.2149
9/18/2014,186.3826
9/17/2014,185.3945
9/16/2014,185.1451
9/15/2014,183.7599
9/12/2014,183.8985
9/11/2014,184.9789
9/10/2014,184.7665
9/9/2014,184.0739
9/8/2014,185.2468
9/5/2014,185.727
9/4/2014,184.8958
9/3/2014,185.1636
9/2/2014,185.2653
8/29/2014,185.3576
8/28/2014,184.8312
8/27/2014,184.9328
8/26/2014,185.0067
8/25/2014,184.8866
8/22/2014,183.9538
8/21/2014,184.2401
8/20/2014,183.7045
8/19/2014,183.215
8/18/2014,182.2639
8/15/2014,180.7492
8/14/2014,180.7862
8/13/2014,179.9366
8/12/2014,178.7268
8/11/2014,178.9761
8/8/2014,178.459
8/7/2014,176.418
8/6/2014,177.3784
8/5/2014,177.323
8/4/2014,179.0592
8/1/2014,177.7756
7/31/2014,178.3204
7/30/2014,181.9129
7/29/2014,181.8852
7/28/2014,182.6702
7/25/2014,182.5963
7/24/2014,183.4551
7/23/2014,183.4459
7/22/2014,183.0396
7/21/2014,182.2453
7/18/2014,182.5871
7/17/2014,180.7401
7/16/2014,182.8179
7/15/2014,182.1438
7/14/2014,182.4855
7/11/2014,181.5712
7/10/2014,181.3219
7/9/2014,182.0422
7/8/2014,181.2295
7/7/2014,182.4024
7/3/2014,183.0396
7/2/2014,182.1438
7/1/2014,181.9591
6/30/2014,180.7492
6/27/2014,180.8416
6/26/2014,180.4907
6/25/2014,180.62
6/24/2014,179.8073
6/23/2014,180.897
6/20/2014,180.9524
6/19/2014,180.5861
6/18/2014,180.3839
6/17/2014,179.0696
6/16/2014,178.5733
6/13/2014,178.4262
6/12/2014,177.8839
6/11/2014,179.1523
6/10/2014,179.7773
6/9/2014,179.7589
6/6/2014,179.5751
6/5/2014,178.7203
6/4/2014,177.5622
6/3/2014,177.2038
6/2/2014,177.2957
5/30/2014,177.0935
5/29/2014,176.8086
5/28/2014,175.8987
5/27/2014,176.0273
5/23/2014,174.952
5/22/2014,174.2534
5/21/2014,173.8307
5/20/2014,172.3785
5/19/2014,173.4722
5/16/2014,172.838
5/15/2014,172.2406
5/14/2014,173.7663
5/13/2014,174.5935
5/12/2014,174.4372
5/9/2014,172.7553
5/8/2014,172.4979
5/7/2014,172.6818
5/6/2014,171.6707
5/5/2014,173.1781
5/2/2014,172.8472
5/1/2014,173.0954
4/30/2014,173.077
4/29/2014,172.5623
4/28/2014,171.7627
4/25/2014,171.2204
4/24/2014,172.6358
4/23/2014,172.2865
4/22/2014,172.6909
4/21/2014,171.9097
4/17/2014,171.3123
4/16/2014,171.0733
4/15/2014,169.2994
4/14/2014,168.1413
4/11/2014,166.8271
4/10/2014,168.3436
4/9/2014,171.9557
4/8/2014,170.1267
4/7/2014,169.4281
4/4/2014,171.3215
4/3/2014,173.3711
4/2/2014,173.6009
4/1/2014,173.0219
3/31/2014,171.8822
3/28/2014,170.4851
3/27/2014,169.6487
3/26/2014,170.0072
3/25/2014,171.2388
3/24/2014,170.4299
3/21/2014,171.1377
3/20/2014,171.8044
3/19/2014,170.8069
3/18/2014,171.722
3/17/2014,170.505
3/14/2014,168.9769
3/13/2014,169.4527
3/12/2014,171.3743
3/11/2014,171.3286
3/10/2014,172.1796
3/7/2014,172.271
3/6/2014,172.1979
3/5/2014,171.8044
3/4/2014,171.6488
3/3/2014,169.2696
2/28/2014,170.4684
2/27/2014,170.0383
2/26/2014,169.1507
2/25/2014,169.1415
2/24/2014,169.2056
2/21/2014,168.2722
2/20/2014,168.4644
2/19/2014,167.4761
2/18/2014,168.5925
2/14/2014,168.3912
2/13/2014,167.4669
2/12/2014,166.6068
2/11/2014,166.5244
2/10/2014,164.7217
2/7/2014,164.4198
2/6/2014,162.4066
2/5/2014,160.2928
2/4/2014,160.4941
2/3/2014,159.3777
1/31/2014,163.0472
1/30/2014,164.008
1/29/2014,162.2876
1/28/2014,163.8616
1/27/2014,162.8916
1/24/2014,163.6969
1/23/2014,167.2656
1/22/2014,168.6474
1/21/2014,168.5376
1/17/2014,168.0435
1/16/2014,168.7572
1/15/2014,168.9769
1/14/2014,168.0709
1/13/2014,166.259
1/10/2014,168.501
1/9/2014,168.0435
1/8/2014,167.9337
